source,target,value,level,colorS,colorT
225,251,5,0,#5e85bf,#2328dd
218,246,2,1,#fd9e2f,#faa940
222,245,2,1,#bdfa2f,#a7fe23
210,240,3,1,#49cc69,#6199b5
214,232,11,1,#ebe333,#f0d72a
185,215,2,1,#ec2723,#ec201f
215,228,1,1,#ec201f,#ec211f
212,243,11,1,#2f72b5,#2f73b4
189,212,12,1,#3482ac,#2f72b5
206,227,1,0,#b01e6f,#ac1e73
227,250,4,0,#ac1e73,#6a8abe
175,206,3,0,#afa4c2,#b01e6f
175,205,4,0,#afa4c2,#fca63a
205,224,4,0,#fca63a,#eab755
175,204,7,0,#afa4c2,#d4274b
204,224,5,0,#d4274b,#eab755
175,203,55,0,#afa4c2,#d4c175
203,224,67,0,#d4c175,#eab755
201,225,19,0,#51f231,#5e85bf
175,201,9,0,#afa4c2,#51f231
198,223,1,1,#b01e6f,#ac1e73
223,247,1,1,#ac1e73,#ae1e71
152,198,1,1,#7a32c1,#b01e6f
196,210,3,1,#38c35e,#49cc69
160,196,2,1,#37b078,#38c35e
193,209,3,1,#d4274b,#d02750
209,230,3,1,#d02750,#d1274f
154,193,5,1,#cf375d,#d4274b
190,217,9,1,#acb5ac,#a6b5ab
217,234,10,1,#a6b5ab,#a7b6a9
158,190,16,1,#c4b9ab,#acb5ac
158,183,8,1,#c4b9ab,#6697b7
183,210,3,1,#6697b7,#49cc69
173,189,4,1,#3885b0,#3482ac
140,173,1,1,#358fa3,#3885b0
139,171,2,1,#fba728,#f7b923
171,194,2,1,#f7b923,#eee028
167,188,3,1,#91fc2f,#b8e959
211,235,9,1,#bede66,#bedf63
158,188,10,1,#c4b9ab,#b8e959
125,167,1,1,#9cfe28,#91fc2f
188,211,11,1,#b8e959,#bede66
119,155,1,1,#c9a6c0,#def41a
155,179,2,1,#def41a,#caa8c0
146,176,21,0,#c9a6c0,#fca027
224,248,137,0,#eab755,#ebb25a
149,176,17,0,#f0cf34,#fca027
116,151,11,0,#ebb754,#f4602c
175,199,38,0,#afa4c2,#faac2e
176,199,31,0,#fca027,#faac2e
199,224,48,0,#faac2e,#eab755
151,176,7,0,#f4602c,#fca027
150,175,1,0,#73f923,#afa4c2
116,150,3,0,#ebb754,#73f923
149,175,39,0,#f0cf34,#afa4c2
116,149,49,0,#ebb754,#f0cf34
116,147,3,0,#ebb754,#eb2020
147,176,3,0,#eb2020,#fca027
186,207,20,1,#df7b69,#db7970
174,186,3,1,#ec6d49,#df7b69
207,237,22,1,#db7970,#dc7a6f
143,174,1,1,#ea6f4e,#ec6d49
102,143,2,1,#d65f69,#ea6f4e
99,141,1,1,#bede65,#9af348
141,158,1,1,#9af348,#c4b9ab
140,160,5,1,#358fa3,#37b078
89,140,3,1,#44a59e,#358fa3
89,132,7,1,#44a59e,#629ab4
132,158,5,1,#629ab4,#c4b9ab
126,161,2,1,#daf339,#eed33c
97,126,6,1,#e8d341,#daf339
169,194,5,1,#f0d925,#eee028
155,194,2,1,#def41a,#eee028
214,238,17,1,#ebe333,#dbe740
179,214,10,1,#caa8c0,#ebe333
93,124,9,1,#ede425,#ece525
124,169,3,1,#ece525,#f0d925
214,229,12,1,#ebe333,#cbabb8
194,214,14,1,#eee028,#ebe333
148,175,79,0,#dfa088,#afa4c2
87,117,3,0,#9e238a,#ab1e74
117,148,4,0,#ab1e74,#dfa088
74,112,3,1,#9e238a,#ab1e74
144,152,4,1,#ac1e74,#7a32c1
112,144,1,1,#ab1e74,#ac1e74
64,111,2,1,#39bd69,#37c35d
128,160,3,1,#40bf70,#37b078
111,128,3,1,#37c35d,#40bf70
160,189,6,1,#37b078,#3482ac
129,158,11,1,#c6e058,#c4b9ab
195,222,5,1,#b5fb2d,#bdfa2f
129,168,4,1,#c6e058,#b5fb2e
168,195,4,1,#b5fb2e,#b5fb2d
65,109,2,1,#acfd2f,#c0f936
109,129,1,1,#c0f936,#c6e058
222,238,4,1,#bdfa2f,#dbe740
95,127,7,1,#df957d,#e0957c
127,158,13,1,#e0957c,#c4b9ab
61,95,6,1,#e68c67,#df957d
156,185,1,1,#ed201d,#ec2723
185,221,1,1,#ec2723,#ea2e2d
94,122,1,1,#eb2020,#eb2020
119,156,4,1,#c9a6c0,#ed201d
122,156,1,1,#eb2020,#ed201d
67,94,2,1,#ec2724,#eb2020
221,244,1,1,#ea2e2d,#ea2e2c
165,185,5,1,#f24d2a,#ec2723
87,113,5,0,#9e238a,#6076c7
52,87,14,0,#eaa967,#9e238a
86,116,12,0,#e32735,#ebb754
116,148,68,0,#ebb754,#dfa088
52,86,18,0,#eaa967,#e32735
85,113,18,0,#41bc77,#6076c7
51,85,12,0,#3e71cd,#41bc77
83,113,9,0,#a954aa,#6076c7
52,83,9,0,#eaa967,#a954aa
79,89,2,1,#319792,#44a59e
47,79,2,1,#36a785,#319792
93,119,15,1,#ede425,#c9a6c0
77,93,4,1,#e7ed19,#ede425
60,93,14,1,#f0d22f,#ede425
57,93,4,1,#c9a6bf,#ede425
39,77,2,1,#f2c931,#e7ed19
136,166,3,1,#2a56c8,#2a56c8
166,189,3,1,#2a56c8,#3482ac
76,106,4,1,#2a57c8,#2b56c9
189,210,7,1,#3482ac,#49cc69
37,76,6,1,#4551e0,#2a57c8
106,136,3,1,#2b56c9,#2a56c8
97,134,8,1,#e8d341,#f1bd42
75,97,2,1,#d4f531,#e8d341
134,161,7,1,#f1bd42,#eed33c
184,214,13,1,#e6df3e,#ebe333
39,75,3,1,#f2c931,#d4f531
134,158,7,1,#f1bd42,#c4b9ab
162,184,4,1,#d3f62b,#e6df3e
161,184,8,1,#eed33c,#e6df3e
73,101,3,1,#d3274c,#cf2751
123,154,6,1,#cf2750,#cf375d
43,73,4,1,#c82558,#d3274c
101,123,4,1,#cf2751,#cf2750
104,135,3,1,#f4602c,#f4602c
135,165,3,1,#f4602c,#f24d2a
165,192,4,1,#f24d2a,#f55f27
192,219,3,1,#f55f27,#f5602b
72,104,3,1,#f55f29,#f4602c
219,242,3,1,#f5602b,#f5602b
39,72,8,1,#f2c931,#f55f29
102,133,3,1,#d65f69,#cc5774
38,68,10,1,#d6aa9c,#ce566f
68,102,5,1,#ce566f,#d65f69
133,154,3,1,#cc5774,#cf375d
154,186,3,1,#cf375d,#df7b69
108,138,1,1,#ea2e2e,#e92e2e
43,67,3,1,#c82558,#ec2724
138,165,3,1,#e92e2e,#f24d2a
67,108,1,1,#ec2724,#ea2e2e
38,63,9,1,#d6aa9c,#c2da67
99,129,11,1,#bede65,#c6e058
63,99,10,1,#c2da67,#bede65
38,61,16,1,#d6aa9c,#e68c67
61,102,6,1,#e68c67,#d65f69
59,89,12,1,#4d92b6,#44a59e
89,128,10,1,#44a59e,#40bf70
37,59,5,1,#4551e0,#4d92b6
134,172,1,1,#f1bd42,#fca63a
103,139,3,1,#fe9927,#fba728
139,164,4,1,#fba728,#fe9624
39,55,12,1,#f2c931,#fd9c2b
197,218,3,1,#fca63a,#fd9e2f
139,172,2,1,#fba728,#fca63a
55,103,5,1,#fd9c2b,#fe9927
172,197,1,1,#fca63a,#fca63a
64,89,5,1,#39bd69,#44a59e
50,64,2,1,#36c25e,#39bd69
16,50,1,1,#37b472,#36c25e
142,157,3,1,#2328dd,#2328dd
48,66,2,1,#1f2dd7,#2328dd
88,142,4,1,#2328dc,#2328dd
220,233,4,1,#2328dd,#2328dd
15,48,4,1,#4051e2,#1f2dd7
66,88,4,1,#2328dd,#2328dc
181,220,4,1,#2428dd,#2328dd
37,66,7,1,#4551e0,#2328dd
157,181,4,1,#2328dd,#2428dd
29,44,2,1,#aa58ab,#ad4899
107,137,7,1,#9a2e9e,#9b38a7
44,58,1,1,#ad4899,#ad4899
58,107,3,1,#ad4899,#9a2e9e
137,152,13,1,#9b38a7,#7a32c1
42,71,3,1,#5ac876,#5bca74
128,153,4,1,#40bf70,#5cc975
130,153,1,1,#66db5f,#5cc975
71,98,1,1,#5bca74,#66da60
71,89,7,1,#5bca74,#44a59e
70,98,2,1,#6bf631,#66da60
153,187,3,1,#5cc975,#5dcb74
23,42,6,1,#5ddd59,#5ac876
187,210,7,1,#5dcb74,#49cc69
98,130,1,1,#66da60,#66db5f
17,41,12,1,#b6f643,#acfd2f
41,65,6,1,#acfd2f,#acfd2f
92,125,3,1,#9dfe27,#9cfe28
125,168,3,1,#9cfe28,#b5fb2e
65,92,4,1,#acfd2f,#9dfe27
54,81,9,0,#51f134,#51f134
81,114,6,0,#51f134,#49ec35
12,36,3,0,#c7acc1,#75f924
33,54,6,0,#45d457,#51f134
114,145,16,0,#49ec35,#5f87be
36,54,3,0,#75f924,#51f134
12,33,31,0,#c7acc1,#45d457
33,51,27,0,#45d457,#3e71cd
175,202,137,0,#afa4c2,#6374c7
80,113,27,0,#e3bf5a,#6076c7
113,145,116,0,#6076c7,#5f87be
32,51,49,0,#4051e2,#3e71cd
12,32,61,0,#c7acc1,#4051e2
84,113,61,0,#404de4,#6076c7
145,175,128,0,#5f87be,#afa4c2
202,225,107,0,#6374c7,#5e85bf
225,250,126,0,#5e85bf,#6a8abe
51,84,55,0,#3e71cd,#404de4
11,31,2,1,#9e238b,#af1e70
31,43,4,1,#af1e70,#c82558
26,39,3,1,#d2f62d,#f2c931
8,26,1,1,#f4c12f,#d2f62d
120,158,14,1,#a7b7a8,#c4b9ab
69,100,9,1,#acb0b4,#a7b7a8
38,69,16,1,#d6aa9c,#acb0b4
0,25,23,1,#dcb17d,#e07e6a
100,120,8,1,#a7b7a8,#a7b7a8
158,186,18,1,#c4b9ab,#df7b69
25,38,24,1,#e07e6a,#d6aa9c
22,39,10,1,#fb8026,#f2c931
8,22,17,1,#f4c12f,#fb8026
0,18,8,1,#dcb17d,#d3284c
18,43,7,1,#d3284c,#c82558
80,116,121,0,#e3bf5a,#ebb754
14,34,4,0,#ec2724,#eaa76b
52,80,131,0,#eaa967,#e3bf5a
34,52,187,0,#eaa76b,#eaa967
35,53,110,0,#cba9bf,#c9a7c0
115,146,107,0,#ccabb7,#c9a6c0
53,82,100,0,#c9a7c0,#c9a6bf
177,200,105,0,#c9a7c0,#caa8c0
200,226,114,0,#caa8c0,#cbabb8
146,177,98,0,#c9a6c0,#c9a7c0
226,249,118,0,#cbabb8,#cbabb8
13,35,99,0,#cba9bf,#cba9bf
82,115,125,0,#c9a6bf,#ccabb7
12,34,176,0,#c7acc1,#eaa76b
30,43,4,1,#952599,#c82558
43,74,6,1,#c82558,#9e238a
11,30,3,1,#9e238b,#952599
74,107,5,1,#9e238a,#9a2e9e
46,56,3,1,#42e636,#42e636
210,231,31,1,#49cc69,#47da52
180,210,15,1,#4aec36,#49cc69
10,24,3,1,#42e831,#43e831
24,46,3,1,#43e831,#42e636
90,121,7,1,#49ec35,#49ec35
121,159,6,1,#49ec35,#51f233
56,90,4,1,#42e636,#49ec35
159,180,8,1,#51f233,#4aec36
28,38,13,1,#abb4ad,#d6aa9c
9,28,9,1,#aab4ad,#abb4ad
8,20,27,1,#f4c12f,#efd730
39,60,27,1,#f2c931,#f0d22f
21,39,17,1,#cba9bf,#f2c931
20,39,36,1,#efd730,#f2c931
60,97,8,1,#f0d22f,#e8d341
7,19,3,1,#ec2724,#ec2823
19,43,5,1,#ec2823,#c82558
6,21,99,1,#cba9bf,#cba9bf
21,40,110,1,#cba9bf,#c9a7c0
159,191,1,1,#51f233,#75f924
105,131,1,1,#73f923,#73f923
119,170,3,1,#c9a6c0,#e8eb1c
164,178,3,1,#fe9624,#fe9823
40,57,100,1,#c9a7c0,#c9a6bf
191,213,2,1,#75f924,#80fa28
119,162,3,1,#c9a6c0,#d3f62b
119,163,98,1,#c9a6c0,#c9a7c0
119,164,4,1,#c9a6c0,#fe9624
124,170,3,1,#ece525,#e8eb1c
216,229,118,1,#cbabb8,#cbabb8
188,213,1,1,#b8e959,#80fa28
126,162,4,1,#daf339,#d3f62b
131,159,1,1,#73f923,#51f233
179,216,114,1,#caa8c0,#cbabb8
178,218,3,1,#fe9823,#fd9e2f
170,194,3,1,#e8eb1c,#eee028
213,239,3,1,#80fa28,#81fa27
163,191,3,1,#c9a7c0,#75f924
163,179,105,1,#c9a7c0,#caa8c0
162,179,3,1,#d3f62b,#caa8c0
91,119,107,1,#ccabb7,#c9a6c0
57,91,125,1,#c9a6bf,#ccabb7
57,105,3,1,#c9a6bf,#73f923
70,105,1,1,#6bf631,#73f923
218,241,6,1,#fd9e2f,#fd9a27
110,137,3,1,#a268ba,#9b38a7
49,78,1,1,#a261b8,#a361b8
5,29,3,1,#aa57ab,#aa58ab
78,110,1,1,#a361b8,#a268ba
29,49,2,1,#aa58ab,#a261b8
69,110,3,1,#acb0b4,#a268ba
45,70,3,1,#6bf632,#6bf631
70,90,2,1,#6bf631,#49ec35
27,45,2,1,#75f924,#6bf632
4,27,1,1,#75f925,#75f924
3,16,6,1,#37b472,#37b472
47,64,1,1,#36a785,#39bd69
16,47,5,1,#37b472,#36a785
23,45,1,1,#5ddd59,#6bf632
2,23,6,1,#5cdd59,#5ddd59
1,15,47,1,#4051e2,#4051e2
37,62,25,1,#4551e0,#5838dd
152,182,36,1,#7a32c1,#7738c5
182,208,35,1,#7738c5,#7439c8
15,37,45,1,#4051e2,#4551e0
118,152,19,1,#573bdd,#7a32c1
208,236,36,1,#7439c8,#7439c7
96,118,19,1,#583cdc,#573bdd
62,96,20,1,#5838dd,#583cdc
17,38,25,1,#b6f643,#d6aa9c
0,17,21,1,#dcb17d,#b6f643
12,0,15,-1,#c7acc1,#dcb17d
12,1,13,-1,#c7acc1,#4051e2
12,2,3,-1,#c7acc1,#5cdd59
12,3,3,-1,#c7acc1,#37b472
12,4,1,-1,#c7acc1,#75f925
12,5,2,-1,#c7acc1,#aa57ab
13,6,33,-1,#cba9bf,#cba9bf
14,7,2,-1,#ec2724,#ec2724
12,8,13,-1,#c7acc1,#f4c12f
12,9,4,-1,#c7acc1,#aab4ad
12,10,2,-1,#c7acc1,#42e831
12,11,3,-1,#c7acc1,#9e238b
32,15,13,-1,#4051e2,#4051e2
33,16,3,-1,#45d457,#37b472
34,17,7,-1,#eaa76b,#b6f643
34,18,2,-1,#eaa76b,#d3284c
34,19,2,-1,#eaa76b,#ec2823
34,20,8,-1,#eaa76b,#efd730
35,21,33,-1,#cba9bf,#cba9bf
34,22,4,-1,#eaa76b,#fb8026
33,23,3,-1,#45d457,#5ddd59
33,24,2,-1,#45d457,#43e831
34,25,6,-1,#eaa76b,#e07e6a
34,26,1,-1,#eaa76b,#d2f62d
36,27,1,-1,#75f924,#75f924
34,28,4,-1,#eaa76b,#abb4ad
34,29,2,-1,#eaa76b,#aa58ab
34,30,2,-1,#eaa76b,#952599
34,31,1,-1,#eaa76b,#af1e70
51,37,12,-1,#3e71cd,#4551e0
52,38,14,-1,#eaa967,#d6aa9c
52,39,15,-1,#eaa967,#f2c931
53,40,33,-1,#c9a7c0,#c9a7c0
52,41,3,-1,#eaa967,#acfd2f
51,42,2,-1,#3e71cd,#5ac876
52,43,7,-1,#eaa967,#c82558
52,44,1,-1,#eaa967,#ad4899
54,45,2,-1,#51f134,#6bf632
54,46,2,-1,#51f134,#42e636
51,47,2,-1,#3e71cd,#36a785
51,48,1,-1,#3e71cd,#1f2dd7
52,49,1,-1,#eaa967,#a261b8
51,50,1,-1,#3e71cd,#36c25e
80,55,3,-1,#e3bf5a,#fd9c2b
81,56,2,-1,#51f134,#42e636
82,57,33,-1,#c9a6bf,#c9a6bf
83,58,1,-1,#a954aa,#ad4899
84,59,3,-1,#404de4,#4d92b6
80,60,6,-1,#e3bf5a,#f0d22f
80,61,4,-1,#e3bf5a,#e68c67
84,62,6,-1,#404de4,#5838dd
80,63,4,-1,#e3bf5a,#c2da67
85,64,2,-1,#41bc77,#39bd69
80,65,3,-1,#e3bf5a,#acfd2f
84,66,2,-1,#404de4,#2328dd
86,67,2,-1,#e32735,#ec2724
80,68,2,-1,#e3bf5a,#ce566f
80,69,4,-1,#e3bf5a,#acb0b4
81,70,2,-1,#51f134,#6bf631
85,71,2,-1,#41bc77,#5bca74
80,72,2,-1,#e3bf5a,#f55f29
86,73,2,-1,#e32735,#d3274c
87,74,3,-1,#9e238a,#9e238a
80,75,1,-1,#e3bf5a,#d4f531
84,76,2,-1,#404de4,#2a57c8
80,77,1,-1,#e3bf5a,#e7ed19
83,78,1,-1,#a954aa,#a361b8
85,79,1,-1,#41bc77,#319792
113,88,2,-1,#6076c7,#2328dc
113,89,6,-1,#6076c7,#44a59e
114,90,3,-1,#49ec35,#49ec35
115,91,34,-1,#ccabb7,#ccabb7
116,92,2,-1,#ebb754,#9dfe27
116,93,5,-1,#ebb754,#ede425
116,94,1,-1,#ebb754,#eb2020
116,95,3,-1,#ebb754,#df957d
113,96,6,-1,#6076c7,#583cdc
116,97,5,-1,#ebb754,#e8d341
113,98,1,-1,#6076c7,#66da60
116,99,4,-1,#ebb754,#bede65
113,100,4,-1,#6076c7,#a7b7a8
116,101,2,-1,#ebb754,#cf2751
116,102,3,-1,#ebb754,#d65f69
116,103,2,-1,#ebb754,#fe9927
116,104,2,-1,#ebb754,#f4602c
116,105,1,-1,#ebb754,#73f923
113,106,2,-1,#6076c7,#2b56c9
113,107,3,-1,#6076c7,#9a2e9e
116,108,1,-1,#ebb754,#ea2e2e
116,109,1,-1,#ebb754,#c0f936
113,110,1,-1,#6076c7,#a268ba
113,111,1,-1,#6076c7,#37c35d
117,112,1,-1,#ab1e74,#ab1e74
145,118,6,-1,#5f87be,#573bdd
146,119,33,-1,#c9a6c0,#c9a6c0
145,120,4,-1,#5f87be,#a7b7a8
145,121,3,-1,#5f87be,#49ec35
147,122,1,-1,#eb2020,#eb2020
148,123,2,-1,#dfa088,#cf2750
149,124,3,-1,#f0cf34,#ece525
148,125,2,-1,#dfa088,#9cfe28
149,126,2,-1,#f0cf34,#daf339
148,127,3,-1,#dfa088,#e0957c
145,128,3,-1,#5f87be,#40bf70
148,129,4,-1,#dfa088,#c6e058
145,130,1,-1,#5f87be,#66db5f
150,131,1,-1,#73f923,#73f923
145,132,2,-1,#5f87be,#629ab4
148,133,2,-1,#dfa088,#cc5774
149,134,3,-1,#f0cf34,#f1bd42
151,135,2,-1,#f4602c,#f4602c
145,136,2,-1,#5f87be,#2a56c8
145,137,4,-1,#5f87be,#9b38a7
148,138,1,-1,#dfa088,#e92e2e
149,139,3,-1,#f0cf34,#fba728
145,140,2,-1,#5f87be,#358fa3
148,141,1,-1,#dfa088,#9af348
145,142,2,-1,#5f87be,#2328dd
148,143,1,-1,#dfa088,#ea6f4e
148,144,1,-1,#dfa088,#ac1e74
175,152,11,-1,#afa4c2,#7a32c1
175,153,2,-1,#afa4c2,#5cc975
175,154,4,-1,#afa4c2,#cf375d
176,155,1,-1,#fca027,#def41a
176,156,1,-1,#fca027,#ed201d
175,157,2,-1,#afa4c2,#2328dd
175,158,13,-1,#afa4c2,#c4b9ab
175,159,4,-1,#afa4c2,#51f233
175,160,3,-1,#afa4c2,#37b078
175,161,3,-1,#afa4c2,#eed33c
175,162,2,-1,#afa4c2,#d3f62b
177,163,33,-1,#c9a7c0,#c9a7c0
176,164,2,-1,#fca027,#fe9624
176,165,3,-1,#fca027,#f24d2a
175,166,2,-1,#afa4c2,#2a56c8
175,167,1,-1,#afa4c2,#91fc2f
175,168,2,-1,#afa4c2,#b5fb2e
176,169,2,-1,#fca027,#f0d925
176,170,1,-1,#fca027,#e8eb1c
176,171,1,-1,#fca027,#f7b923
175,172,1,-1,#afa4c2,#fca63a
175,173,1,-1,#afa4c2,#3885b0
175,174,1,-1,#afa4c2,#ec6d49
199,178,2,-1,#faac2e,#fe9823
200,179,33,-1,#caa8c0,#caa8c0
201,180,3,-1,#51f231,#4aec36
202,181,2,-1,#6374c7,#2428dd
202,182,10,-1,#6374c7,#7738c5
202,183,2,-1,#6374c7,#6697b7
199,184,4,-1,#faac2e,#e6df3e
199,185,2,-1,#faac2e,#ec2723
203,186,6,-1,#d4c175,#df7b69
202,187,2,-1,#6374c7,#5dcb74
203,188,5,-1,#d4c175,#b8e959
202,189,5,-1,#6374c7,#3482ac
202,190,4,-1,#6374c7,#acb5ac
201,191,1,-1,#51f231,#75f924
199,192,2,-1,#faac2e,#f55f27
204,193,2,-1,#d4274b,#d4274b
199,194,4,-1,#faac2e,#eee028
203,195,2,-1,#d4c175,#b5fb2d
202,196,1,-1,#6374c7,#38c35e
205,197,1,-1,#fca63a,#fca63a
206,198,1,-1,#b01e6f,#b01e6f
224,207,6,-1,#eab755,#db7970
225,208,10,-1,#5e85bf,#7439c8
224,209,2,-1,#eab755,#d02750
225,210,9,-1,#5e85bf,#49cc69
224,211,4,-1,#eab755,#bede66
225,212,4,-1,#5e85bf,#2f72b5
224,213,2,-1,#eab755,#80fa28
224,214,8,-1,#eab755,#ebe333
224,215,1,-1,#eab755,#ec201f
226,216,34,-1,#cbabb8,#cbabb8
225,217,4,-1,#5e85bf,#a6b5ab
224,218,3,-1,#eab755,#fd9e2f
224,219,2,-1,#eab755,#f5602b
225,220,2,-1,#5e85bf,#2328dd
224,221,1,-1,#eab755,#ea2e2d
224,222,3,-1,#eab755,#bdfa2f
227,223,1,-1,#ac1e73,#ac1e73
248,228,1,-1,#ebb25a,#ec211f
249,229,34,-1,#cbabb8,#cbabb8
248,230,2,-1,#ebb25a,#d1274f
250,231,7,-1,#6a8abe,#47da52
248,232,3,-1,#ebb25a,#f0d72a
251,233,2,-1,#2328dd,#2328dd
250,234,4,-1,#6a8abe,#a7b6a9
248,235,4,-1,#ebb25a,#bedf63
250,236,10,-1,#6a8abe,#7439c7
248,237,6,-1,#ebb25a,#dc7a6f
248,238,5,-1,#ebb25a,#dbe740
248,239,2,-1,#ebb25a,#81fa27
250,240,2,-1,#6a8abe,#6199b5
248,241,2,-1,#ebb25a,#fd9a27
248,242,2,-1,#ebb25a,#f5602b
250,243,4,-1,#6a8abe,#2f73b4
248,244,1,-1,#ebb25a,#ea2e2c
248,245,1,-1,#ebb25a,#a7fe23
248,246,1,-1,#ebb25a,#faa940
250,247,1,-1,#6a8abe,#ae1e71
